mountain,site,spp,treatment,source,rep,survey,date_approx,abv_biomass_dry_seed1,abv_biomass_dry_seed2,abv_biomass_dry_seed3,abv_biomass_dry_seed4,abv_biomass_dry_seed5,abv_biomass_dry_seed6,abv_biomass_dry_seed7,root_biomass_dry_seed1,root_biomass_dry_seed2,root_biomass_dry_seed3,root_biomass_dry_seed4,root_biomass_dry_seed5,root_biomass_dry_seed6,root_biomass_dry_seed7,root_shoot_ratio1,root_shoot_ratio2,root_shoot_ratio3,root_shoot_ratio4,root_shoot_ratio5,root_shoot_ratio6,root_shoot_ratio7,total_bio1,total_bio2,total_bio3,total_bio4,total_bio5,total_bio6,total_bio7,num_germ,num_alive,survival,height_avg,num_leaves_avg,root_shoot_ratio_avg,total_bio_avg,total_abv_avg,total_below_avg,root_path,herb,browse,order,order1
ABE,H,FAGR,F,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Spruce-fir soils
ABE,H,FAGR,F,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,NA,NA,NA,NA,NA,0,1,0,Spruce-fir,Spruce-fir soils
ABE,H,FAGR,F,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Spruce-fir soils
ABE,H,FAGR,L,L,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Hardwood soils
ABE,H,FAGR,L,L,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Hardwood soils
ABE,H,FAGR,L,L,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Hardwood soils
ABE,H,FAGR,M,M,1,final,9/19/2021,0.136,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA,1.846,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,4,1,0.25,6.35,4,1.846,0.387,0.136,0.251,0,0,0,Spruce-fir,Ecotone soils
ABE,H,FAGR,M,M,1,final,9/19/2021,0.136,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA,1.846,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,4,1,0.25,6.35,4,1.846,0.387,0.136,0.251,0,0,1,Spruce-fir,Ecotone soils
ABE,H,FAGR,M,M,1,final,9/19/2021,0.136,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA,1.846,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,4,1,0.25,6.35,4,1.846,0.387,0.136,0.251,0,0,0,Spruce-fir,Ecotone soils
ABE,H,FAGR,S,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Spruce-fir soils
ABE,H,FAGR,S,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Spruce-fir soils
ABE,H,FAGR,S,H,1,final,9/19/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,Spruce-fir,Spruce-fir soils
